column,non_null_count,drop_reason,row_index,case_number,institution_x,organ,p_status,q_status,mgmt_pyro,mgmt,dna_methylation_report,methylation_class,class_calibration_score,methylation_subclass,subclass_calibration_score,oncomine_focus,pdgfra_dna,egfr_dna,idh1_dna,idh2_dna,alk_dna,myc_dna,ar_dna,met_dna,braf_dna,pik3ca_dna,ros1_dna,kras_dna,kit_dna,fgfr4_dna,cdk4_dna,smo_dna,ctnnb1_dna,nras_dna,egfr_rna,fam131b_braf_rna,kiaa1549_braf_rna,fgfr3_tacc3_rna,eml_alk_rna,gopc_4_ros1_36_rna,nyu_fusion,fusion_results,nyu_genome_pact,kras_genome,pdgfra,cdkn2a,syne1,akap9,mllt3,chic2,psip1,idh1,atrx_genome,genome_tp53,tert,pten,aspm,genome_egfr,csmd3,stat4,grm8,jak2,ret,cacna1e,bcl9,il6st,pkhd1,lrp1b,zswim4,tpm3,etx1,dnah9,amer1,msh6_genome,cdk6_genome,nf1_genome,nf2_genome,smarca4,rb1,erg_genome,ephb6,foxa1,il7r,med12,braf_genome,ss18l1,arid1a,dst,maml2,stat4_genome,nf2,tet2,mdm4,auts2,cic,trim24,rad50,drosha,rbbp6,met,setd2,pik3cg,adgrd1,apc,atm,ptch1,phf6,kmt2d,adamts20,tlr4,ext2,erbb3,fwxw7,lztr1,mllt10,kln1,trrap,h3f3a,flt4,ptpn,ephb4,ephb1,ankrd24,asxl1,lrp2,g6p3,pax7,fgfr1,mlh3,spta1,akt2,foxo1,zmym2,mtr,brca2,bcorl1,pax8_genome,grin2a,taf1,spen,phlpp2,pdgfrb,wt1_genome,ppm1d,irs2,bcor,abl2,prkdc,igf1r,tsc1,sox11,ncor2,nras,spi1,kit,kel,card11,trim33,stag2,foxp1,pms2_genome,gna11,akt3,pole,flow_cytometry,cdkn2a_homo_del,genomic_tests_complete,ala_case,margin_case,pathology_frozen_diagnosis,permanent,tumor,hg_glioma,atrx,p53,idh_1_r132h,braf_v600,h3k27m,gfap,ki_67,ini_1,erg,cd1a,cd3,cd5,cd10,cd2o,cd23,cd30,cd34,cd38,cd45,cd56,cd68,cd117,cd163,cd138,cd79a,fli_1,mum_1,hhv_8,bcl_2,bcl_6,cd102,ini_12,neu_n,synaptophysin,cga,cam5_2,vimentin,ca_ix,s_100,ae1_3,ema,sstr2,stat_6,d2_40,ck20,sox10,melana,napsin_a,inhibin,hmb45,myogenin,pr,eber_ish,ish_kappa,c_myc,gram,afb,gms,nse,neurofilament_protein,chromogranin,fsh,prolactin,acth,tsh,gh,lh,tpit,sf_1,pit1,pax_5,pax_8,p40,ttf_1,egfr_l858r,egfr_exon_19_deletion,alk_clone,pd_l1_tps,level_pd_l1_expression,percent_pd_l1_expression,desmin,sma,reticulin,glut1,ck7,cdx2,gata3,calretinin,er_interpretation,er_staining,intensity_er_staining,pr_interpretation,pr_staining,intensity_pr_staining,her2_interpretation,her2_staining,intensity_her2_staining,oct2,oct4,sall4,glypician3,plap,afp,beta_catenin,tmh_h3,wt1,tdt,kappa_light_chains,lambda_light_clains,trimethyl_k27_h3,myc,ber_ep4,cd8,olig2,anti_hu,msh2,msh6,mlh1,pms2,mmr_interpretation,cyclind1,trimethyl_histone,egfr_cep7_ratio,igm,iga,igg,luxol_blue,pas_stain,nkx31,azocarmine,enolase,h3_g34w,psm2,brg1,brm,nut,insm1,other_molecular_tests_complete,chemotherapy___1,chemotherapy___2,chemotherapy___3,chemotherapy___4,chemotherapy___5,chemotherapy___6,chemotherapy___7,chemotherapy___8,chemotherapy___9,chemotherapy___10,chemotherapy___11,chemotherapy___12,chemotherapy___13,chemotherapy___14,chemotherapy___15,chemotherapy___16,chemotherapy___17,chemotherapy___18,chemotherapy___19,chemotherapy___20,radiotherapy,resection_number,gtr,treatment_complete,ala_flow_cytometry,idh_wildtype,p19q_intact,p19q_codeletion,idh_wildtype2,p19q_intact2,p19q_codeletion2,age,patient_status,death_cause,survival,lost_fu,sex,race,ethnicity,p19q_report,patient_id,institution_y,num_patches,num_images,feature_0000,feature_0001,feature_0002,feature_0003,feature_0004,feature_0005,feature_0006,feature_0007,feature_0008,feature_0009,feature_0010,feature_0011,feature_0012,feature_0013,feature_0014,feature_0015,feature_0016,feature_0017,feature_0018,feature_0019,feature_0020,feature_0021,feature_0022,feature_0023,feature_0024,feature_0025,feature_0026,feature_0027,feature_0028,feature_0029,feature_0030,feature_0031,feature_0032,feature_0033,feature_0034,feature_0035,feature_0036,feature_0037,feature_0038,feature_0039,feature_0040,feature_0041,feature_0042,feature_0043,feature_0044,feature_0045,feature_0046,feature_0047,feature_0048,feature_0049,feature_0050,feature_0051,feature_0052,feature_0053,feature_0054,feature_0055,feature_0056,feature_0057,feature_0058,feature_0059,feature_0060,feature_0061,feature_0062,feature_0063,feature_0064,feature_0065,feature_0066,feature_0067,feature_0068,feature_0069,feature_0070,feature_0071,feature_0072,feature_0073,feature_0074,feature_0075,feature_0076,feature_0077,feature_0078,feature_0079,feature_0080,feature_0081,feature_0082,feature_0083,feature_0084,feature_0085,feature_0086,feature_0087,feature_0088,feature_0089,feature_0090,feature_0091,feature_0092,feature_0093,feature_0094,feature_0095,feature_0096,feature_0097,feature_0098,feature_0099,feature_0100,feature_0101,feature_0102,feature_0103,feature_0104,feature_0105,feature_0106,feature_0107,feature_0108,feature_0109,feature_0110,feature_0111,feature_0112,feature_0113,feature_0114,feature_0115,feature_0116,feature_0117,feature_0118,feature_0119,feature_0120,feature_0121,feature_0122,feature_0123,feature_0124,feature_0125,feature_0126,feature_0127
idh2_dna,0,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alk_dna,8,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myc_dna,8,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar_dna,2,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
met_dna,4,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros1_dna,1,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kras_dna,5,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kit_dna,6,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fgfr4_dna,5,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smo_dna,4,Fewer than 10 non-null entries,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
